i getaccept E*A dH rho ddH Q
0 1 7.696085708481923e-01 3.659562327375632e-03 1.000000000000000e+00 NA -0.000000000000000e+00
1 1 6.573006816922170e-01 1.659929444052466e-03 1.000000000000000e+00 NA -0.000000000000000e+00
2 1 5.931678101030442e-01 7.885912461738087e-04 1.000000000000000e+00 NA -0.000000000000000e+00
3 1 5.475267257025109e-01 5.395114412900526e-04 1.000000000000000e+00 NA -0.000000000000000e+00
4 1 5.189798708983688e-01 2.966449481682787e-04 1.000000000000000e+00 NA -0.000000000000000e+00
5 1 5.113598452501140e-01 1.091228838721037e-04 1.000000000000000e+00 NA -0.000000000000000e+00
6 1 4.951043182909548e-01 1.754438295762384e-04 1.000000000000000e+00 NA -0.000000000000000e+00
7 1 5.016618711886056e-01 -4.606409286811441e-05 1.000000000000000e+00 NA -0.000000000000000e+00
8 1 4.890312400780848e-01 1.466588126604051e-04 1.000000000000000e+00 NA -0.000000000000000e+00
9 1 4.914888127030040e-01 -4.375044036475373e-05 1.000000000000000e+00 NA -0.000000000000000e+00
10 1 4.805927573161621e-01 1.183235903523538e-04 1.000000000000000e+00 NA -0.000000000000000e+00
11 1 4.779894186981342e-01 9.940986101408811e-05 1.000000000000000e+00 NA -0.000000000000000e+00
12 1 4.755830803969389e-01 5.070594218103963e-05 1.000000000000000e+00 NA -0.000000000000000e+00
13 1 4.806348353044740e-01 4.452171002000682e-05 1.000000000000000e+00 NA -0.000000000000000e+00
14 1 4.761228758098178e-01 9.193897035242315e-05 1.000000000000000e+00 NA -0.000000000000000e+00
15 1 4.735797529889751e-01 1.161098342805644e-05 1.000000000000000e+00 NA -0.000000000000000e+00
16 1 4.705878830551961e-01 4.854350305727451e-05 1.000000000000000e+00 NA -0.000000000000000e+00
17 1 4.803255960621809e-01 -1.184136716023687e-04 1.000000000000000e+00 NA -0.000000000000000e+00
18 1 4.689930739827072e-01 1.779463632596290e-04 1.000000000000000e+00 NA -0.000000000000000e+00
19 1 4.780208196328435e-01 -1.097245469665609e-04 1.000000000000000e+00 NA -0.000000000000000e+00
20 1 4.728355190534642e-01 2.714663409175699e-05 1.000000000000000e+00 NA -0.000000000000000e+00
21 1 4.795141694073688e-01 -5.743288250847911e-05 1.000000000000000e+00 NA -0.000000000000000e+00
22 1 4.741599534965140e-01 4.517930164205097e-05 1.000000000000000e+00 NA -0.000000000000000e+00
23 1 4.750524656239402e-01 -1.364587276686535e-05 1.000000000000000e+00 NA -0.000000000000000e+00
24 1 4.704191619471912e-01 6.838449109736189e-05 1.000000000000000e+00 NA -0.000000000000000e+00
25 1 4.720513622612827e-01 -1.716798420581256e-05 1.000000000000000e+00 NA -0.000000000000000e+00
26 1 4.795561312506655e-01 -9.444051701823497e-05 1.000000000000000e+00 NA -0.000000000000000e+00
27 1 4.751771575257740e-01 2.834346742996985e-05 1.000000000000000e+00 NA -0.000000000000000e+00
28 1 4.715062067093901e-01 -2.684976708344777e-05 1.000000000000000e+00 NA -0.000000000000000e+00
29 1 4.692961486058400e-01 3.646863654349630e-05 1.000000000000000e+00 NA -0.000000000000000e+00
30 1 4.653543604898332e-01 1.540822963619348e-05 1.000000000000000e+00 NA -0.000000000000000e+00
31 1 4.706284114013024e-01 -5.968727391980622e-05 1.000000000000000e+00 NA -0.000000000000000e+00
32 1 4.781321672598398e-01 -4.032993803626539e-05 1.000000000000000e+00 NA -0.000000000000000e+00
33 1 4.741018826720491e-01 -3.872901310764121e-06 1.000000000000000e+00 NA -0.000000000000000e+00
34 1 4.685713015570413e-01 7.844561706349396e-05 1.000000000000000e+00 NA -0.000000000000000e+00
35 1 4.603973107841076e-01 1.318210850866919e-04 1.000000000000000e+00 NA -0.000000000000000e+00
36 1 4.747666471374514e-01 -1.071228975879635e-04 1.000000000000000e+00 NA -0.000000000000000e+00
37 1 4.623168410909170e-01 1.144719387671245e-04 1.000000000000000e+00 NA -0.000000000000000e+00
38 1 4.685493415465510e-01 -2.468974963498738e-05 1.000000000000000e+00 NA -0.000000000000000e+00
39 1 4.796566628490518e-01 -7.770104731363858e-05 1.000000000000000e+00 NA -0.000000000000000e+00
40 1 4.756340599449247e-01 4.248415134000538e-05 1.000000000000000e+00 NA -0.000000000000000e+00
41 1 4.741444451959239e-01 2.989536770936496e-05 1.000000000000000e+00 NA -0.000000000000000e+00
42 1 4.743259615326946e-01 -6.031892261670890e-05 1.000000000000000e+00 NA -0.000000000000000e+00
43 1 4.708313283809656e-01 -3.723168704539148e-05 1.000000000000000e+00 NA -0.000000000000000e+00
44 1 4.693768115812161e-01 -5.570483913253099e-05 1.000000000000000e+00 NA -0.000000000000000e+00
45 1 4.764741499637336e-01 -7.087310646980427e-05 1.000000000000000e+00 NA -0.000000000000000e+00
46 1 4.832293747826007e-01 2.823799201845389e-05 1.000000000000000e+00 NA -0.000000000000000e+00
47 1 4.803295055481920e-01 -4.531363740234440e-05 1.000000000000000e+00 NA -0.000000000000000e+00
48 1 4.916641759492455e-01 -1.066138761922630e-04 1.000000000000000e+00 NA -0.000000000000000e+00
49 1 4.867546246653517e-01 4.401687381694330e-06 1.000000000000000e+00 NA -0.000000000000000e+00
50 1 4.936973527210681e-01 2.785175588204680e-05 1.000000000000000e+00 NA -0.000000000000000e+00
51 1 4.898520888747588e-01 -1.951125165788881e-05 1.000000000000000e+00 NA -0.000000000000000e+00
52 1 4.921154318677212e-01 -6.174383017309992e-05 1.000000000000000e+00 NA -0.000000000000000e+00
53 1 4.804474268050210e-01 1.928800912933681e-04 1.000000000000000e+00 NA -0.000000000000000e+00
54 1 4.829938849066349e-01 -3.542487251095849e-06 1.000000000000000e+00 NA -0.000000000000000e+00
55 1 4.739046513852773e-01 1.194528387582494e-04 1.000000000000000e+00 NA -0.000000000000000e+00
56 1 4.778647220434586e-01 -3.154253702675192e-07 1.000000000000000e+00 NA -0.000000000000000e+00
57 1 4.695331970593939e-01 1.440741417662039e-04 1.000000000000000e+00 NA -0.000000000000000e+00
58 1 4.657125239526725e-01 -2.717888770575883e-05 1.000000000000000e+00 NA -0.000000000000000e+00
