i getaccept E*A dH rho ddH Q
0 1 9.727379993216163e-01 9.020994042202801e-03 1.000000000000000e+00 NA -0.000000000000000e+00
1 1 9.664757324545821e-01 2.006325759339234e-03 1.000000000000000e+00 NA -0.000000000000000e+00
2 1 9.622258657552785e-01 1.312452833190036e-03 1.000000000000000e+00 NA -0.000000000000000e+00
3 1 9.604212136038655e-01 4.241211941007350e-04 1.000000000000000e+00 NA -0.000000000000000e+00
4 1 9.581502721366051e-01 8.131864060487715e-04 1.000000000000000e+00 NA -0.000000000000000e+00
5 1 9.568175246448150e-01 4.605862618518586e-04 1.000000000000000e+00 NA -0.000000000000000e+00
6 1 9.551482747872493e-01 4.619320015990525e-04 1.000000000000000e+00 NA -0.000000000000000e+00
7 1 9.545724011031349e-01 5.387500809774792e-04 1.000000000000000e+00 NA -0.000000000000000e+00
8 1 9.534708302611667e-01 1.641304079385009e-04 1.000000000000000e+00 NA -0.000000000000000e+00
9 1 9.542039394444252e-01 -1.402024809067370e-04 1.000000000000000e+00 NA -0.000000000000000e+00
10 1 9.509085985360609e-01 1.209672254390171e-03 1.000000000000000e+00 NA -0.000000000000000e+00
11 1 9.532243831611291e-01 -9.397694266226608e-04 1.000000000000000e+00 NA -0.000000000000000e+00
12 1 9.526421068852985e-01 1.906372885969176e-04 1.000000000000000e+00 NA -0.000000000000000e+00
13 1 9.521917809203401e-01 4.489988550631097e-04 1.000000000000000e+00 NA -0.000000000000000e+00
14 1 9.522080088415319e-01 -1.129222710005706e-05 1.000000000000000e+00 NA -0.000000000000000e+00
15 1 9.513158996205553e-01 1.418827800989675e-04 1.000000000000000e+00 NA -0.000000000000000e+00
16 1 9.500346172624285e-01 1.904942832879897e-04 1.000000000000000e+00 NA -0.000000000000000e+00
17 1 9.497918437279087e-01 2.940257945738267e-05 1.000000000000000e+00 NA -0.000000000000000e+00
18 1 9.495788047832369e-01 4.503406903495488e-04 1.000000000000000e+00 NA -0.000000000000000e+00
19 1 9.488258585119402e-01 2.183703613809485e-04 1.000000000000000e+00 NA -0.000000000000000e+00
20 1 9.492227731033905e-01 -4.024224081149441e-04 1.000000000000000e+00 NA -0.000000000000000e+00
21 1 9.486984719684496e-01 4.883922420049203e-04 1.000000000000000e+00 NA -0.000000000000000e+00
22 1 9.491995547854547e-01 -2.210680995631265e-04 1.000000000000000e+00 NA -0.000000000000000e+00
23 1 9.476183979373178e-01 5.292896403261693e-04 1.000000000000000e+00 NA -0.000000000000000e+00
24 1 9.482144965019907e-01 -7.041594835754950e-05 1.000000000000000e+00 NA -0.000000000000000e+00
